 Brand, Manufacturer, Series, Colour, Form Factor, Item Height, Item Width, Standing screen display size, Resolution, Product Dimensions, Batteries, Item model number, Processor Brand, Processor Type, Processor Speed, Processor Count, RAM Size, Memory Technology, Maximum Memory Supported, Memory Clock Speed, Hard Disk Description, Hard Drive Interface, Graphics Chipset Brand, Graphics Card Description, Graphics RAM Type, Graphics Card Interface, Number of USB 2.0 Ports, Number of USB 3.0 Ports, Optical Drive Type, Operating System, Are Batteries Included, Number Of Lithium Ion Cells, Included Components, Country of Origin, Item Weight, Model, Model Name, Model Year, Memory Storage Capacity, Flash Memory Installed Size, Ram Memory Installed Size, Ram Memory Technology, Computer Memory Type, Processor Model Number, Hardware Interface, Graphics Coprocessor, Special Features, Mounting Hardware, Number Of Items, Software Included, Display Type, Audio Details, Power Source, Battery Average Life, Batteries Included, Batteries Required, Battery Cell Composition, Wireless Type, Cellular Technology, Total Usb Ports, Connector Type,  Device interface - primary, Device Type, Keyboard Description, Memory Slots Available, Hard Drive Size, Graphics Card Ram Size, Compatible Devices, Refresh Rate, Imported By, Speaker Description, Connectivity Type, Number of HDMI Ports, Number of Audio-out Ports, Number of Ethernet Ports, Wattage, Average Battery Life (in hours), Lithium Battery Energy Content, Lithium Battery Weight, Display Technology, Battery Average Life Standby, Hardware Platform, Average Battery Standby Life (in hours), Screen Resolution, Voltage, Front Webcam Resolution, Hard Disk Rotational Speed, Aspect Ratio, Microphone Form Factor, Microphone Technology, Processor Socket, Number of Lithium Metal Cells, Battery Charge Cycles
‎Dell ,‎Dell India Pvt Ltd ,‎INSPIRON 3515 ,‎Carbon ,‎Laptop ,‎19 Millimeters ,‎35.8 Centimeters ,‎15.6 Inches ,‎1920 x 1080 Pixels ,‎23.5 x 35.8 x 1.9 cm; 1.8 Kilograms ,‎3 Lithium ion batteries required. (included) ,‎INSPIRON 3515 ,‎AMD ,‎Ryzen 3 ,‎3.5 GHz ,‎1 ,‎8 GB ,‎DDR4 ,‎16 GB ,‎2400 MHz ,‎SSD ,‎USB 3.2 ,‎AMD ,‎Integrated ,‎Shared ,‎Integrated ,‎1 ,‎2 ,‎DVD ,‎Windows 10 ,‎Yes ,‎3 ,"‎Laptop, Battery, AC Adapter, User Guide, Manuals ",‎China ,‎1 kg 800 g ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‎Lenovo ,‎Lenovo ,,,‎Thin & Light ,,,‎11.6 Inches ,‎1366 x 768 Pixels ,‎28.8 x 20 x 1.7 cm; 1.2 Kilograms ,‎1 Lithium Polymer batteries required. (included) ,‎81VT0071IN ,‎Intel ,‎Celeron N4020 ,‎1.1 GHz ,‎2 ,‎4 GB ,,‎4 GB ,,‎SSD ,‎USB 3.2 ,,‎Integrated ,‎DDR4 SDRAM ,‎Integrated ,,,‎No Optical Drive ,‎Windows 10 Home ,,,,‎China ,‎1 kg 200 g ,‎81VT0071IN ,‎IdeaPad 1 11IGL05 ,‎2021 ,‎256 GB ,‎256 ,‎4 GB ,‎DDR4 ,‎DDR4 SDRAM ,‎Intel Celeron N4020 ,"‎USB, HDMI, SDHC, SDXC, Secure Digital Card ",‎Integrated Intel UHD Graphics 600 ,"‎Anti Glare Screen, Light Weight, Thin ","‎Laptop, Power Adapter, User Manual ",‎3 ,"‎Office Home and Student 2019, WINDOWS_10_HOME_64_SL ",‎LED ,"‎Headphones, Speakers ",‎Battery Powered ,‎7 Hours ,‎Yes ,‎Yes ,‎Polymer ,‎Bluetooth ,‎5G ,‎2 ,"‎Wi-Fi, USB, Ethernet, HDMI ",‎Microphone ,‎Notebook ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‎HP ,‎HP Inc. ,,,‎Laptop ,,,‎39.6 Centimetres ,‎1366 x 768 Pixels ,‎35.9 x 24.2 x 2 cm; 1.75 Kilograms ,‎1 Lithium ion batteries required. (included) ,‎15s-du3564TU ,‎Intel ,‎Core i3 ,‎3.7 GHz ,‎1 ,‎8 GB ,,‎16 GB ,,‎SSD ,‎Solid State ,,‎Integrated ,‎VRAM ,‎Integrated ,,,‎No Optical Drive ,‎Windows 11 Home ,,,,‎China ,‎1 kg 750 g ,‎15s-du3564TU ,‎15s-du3564TU ,‎2021 ,‎512 GB ,,‎8 GB ,‎DDR4 ,,‎I3-1125G4 ,"‎USB, HDMI ",,"‎Portable, Anti Glare Screen, Micro-Edge Display ","‎Laptop, Power adaptor ",‎1 ,,‎LED ,"‎Headphones, Speakers ",‎Battery Powered ,,‎Yes ,‎Yes ,‎Lithium Ion ,"‎802.11a/b/g/n/ac, Bluetooth ",,‎3 ,"‎Bluetooth, Wi-Fi ","‎Microphone, Keyboard, Numeric Keypad ",,‎Full size keyboard ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‎Lenovo ,‎Lenovo ,,,‎Ultrabook ,,,‎15.6 Inches ,‎1920 x 1080 Pixels ,‎35.6 x 23.3 x 1.8 cm; 1.66 Kilograms ,‎1 Lithium Polymer batteries required. (included) ,‎82FG00BPIN ,‎Intel ,‎Core i5 ,‎2.4 GHz ,‎1 ,‎8 GB ,,‎8 GB ,,‎Hybrid Drive ,,,‎Dedicated ,‎GDDR6 ,‎PCI-E ,,,‎No Optical Drive ,‎Windows 10 Home ,,,,,‎1 kg 660 g ,‎82FG00BPIN ,‎IdeaPad Slim 5i ,‎2020 ,‎256 GB ,‎256 ,‎8 GB ,‎DDR4 ,,‎Intel Core i5-1135G7 ,"‎USB, HDMI, SDXC, SDHC, Secure Digital Card ",‎NVIDIA GeForce MX450 2GB GDDR6 ,‎Fingerprint reader ,"‎Laptop, Power Adapter, User Manual ",‎3 ,‎MS Office Home and Student 2019 ,‎LED ,‎Speakers ,‎Battery Powered ,‎8 Hours ,‎Yes ,‎Yes ,‎Polymer ,‎802.11ax ,,‎3 ,‎Wi-Fi ,"‎Microphone, Keyboard ",‎Ultrabook ,‎Backlit Keyboard ,‎2 ,‎1 TB ,‎2 GB ,‎Laptop ,‎60 Hz ,‎Lenovo (India) Private Limited ,,,,,,,,,,,,,,,,,,,,,,,
‎HP ,‎hp ,‎Omen ,‎Shadow Black ,‎Laptop ,‎23 Millimeters ,‎24 Centimeters ,‎15.6 Inches ,‎1920 x 1080 Pixels ,‎35.8 x 24 x 2.3 cm; 2.36 Kilograms ,‎1 Lithium Polymer batteries required. (included) ,‎15-ek0015TX ,‎Intel ,‎Core i5 ,‎2.5 GHz ,‎1 ,‎8 GB ,‎DDR4 ,‎16 GB ,,‎SSD ,‎USB ,‎NVIDIA ,‎Dedicated ,‎GDDR6 ,‎PCI-E ,,‎2 ,‎No Optical Drive ,‎Windows 10 Home ,‎Yes ,‎6 ,"‎Laptop, Battery, AC Adapter, User Guide, Manuals ",,‎2 kg 360 g ,,,,,,,,,,,‎NVIDIA GeForce GTX 1650 ,,,,,,‎Headphones ,‎Battery Powered ,,,,,‎802.11ac ,,,,,,,,,‎4 GB ,,,,‎Bang & Olufsen Audio ,‎Wi-Fi ,‎1 ,‎1 ,‎1 ,‎150 Watts ,‎12.5 Hours ,‎4.9 Watt Hours ,‎0.85 Grams ,,,,,,,,,,,,,,
‎Lenovo ,‎Lenovo ,,,‎Laptop ,,,‎15.6 Inches ,‎1920 x 1080 Pixels ,‎35.9 x 25 x 2.5 cm; 2.2 Kilograms ,‎1 Lithium Polymer batteries required. (included) ,,‎AMD ,‎Ryzen 5 ,‎3 GHz ,‎1 ,‎8 GB ,,‎16 GB ,,‎Solid State Drive ,‎PCIE x 4 ,,‎Dedicated ,‎GDDR6 ,‎PCI-E ,,,‎No Optical Drive ,‎Windows 10 Home ,,,,‎India ,‎2 kg 200 g ,,‎Ideapad Gaming 3 ,‎2020 ,‎512 GB ,‎512 ,‎8 GB ,‎DDR4 ,,‎RYZEN 5 4600H ,"‎USB, Ethernet, HDMI ",‎NVIDIA GeForce GTX 1650 ,‎Anti reflective ,‎Laptop ,‎3 ,"‎Windows 10 Home, Windows 10 ",‎LED ,"‎Headphones, Speakers ",‎Battery Powered ,‎5 Hours ,‎Yes ,‎Yes ,‎Polymer ,,,‎3 ,"‎USB, Ethernet, HDMI ","‎Microphone, Keyboard ",‎Notebook ,‎Gaming ,,,‎4 GB ,"‎Laptop, Personal Computer ",‎60 Hz ,,,,,,,,,,,‎LED ,‎5 Hours ,,,,,,,,,,,,
‎HP ,‎hp ,‎14a-cb0007AU ,‎Mineral Silver ,‎Chromebook ,‎18 Millimeters ,‎22 Centimeters ,‎14 Inches ,‎1366 x 768 ,‎32.6 x 22 x 1.8 cm; 1.49 Kilograms ,‎1 Lithium ion batteries required. (included) ,,‎AMD ,‎A-Series ,‎2.3 GHz ,‎1 ,,‎DDR4 ,‎16 GB ,‎2400 MHz ,‎SSD ,‎Solid State ,‎AMD ,‎Integrated ,,‎Integrated ,,‎1 ,,‎Chrome OS ,‎Yes ,‎2 ,"‎HP Chromebook, 45 W USB Type-C® power adapter, user manuals ",‎China ,‎1 kg 490 g ,,,,,,,,‎DDR4 SDRAM ,,,,,,,,,‎Headphones ,‎Battery Powered ,,,,,"‎Bluetooth, 802.11a/b/g/n/ac ",,,,,,,,,‎4 GB ,,,,‎Dual speakers ,"‎Bluetooth, Wi-Fi ",,,,,,‎47 Watt Hours ,,,,,,,,,,,,,,,
‎Lenovo ,‎Lenovo ,,,‎Ultra-Portable ,,,‎15.6 Inches ,‎1920 x 1080 Pixels ,‎36.2 x 25.3 x 2 cm; 1.7 Kilograms ,‎1 Lithium Polymer batteries required. (included) ,‎81WB012DIN ,‎Intel ,‎Core i3 ,‎2.1 GHz ,‎2 ,‎8 GB ,,‎12 GB ,,‎SSD ,‎PCIE x 2 ,,‎Integrated ,‎DDR4 SDRAM ,‎Integrated ,,,‎No Optical Drive ,‎Windows 10 Home ,,,,‎China ,‎1 kg 700 g ,‎81WB012DIN ,‎IdeaPad 3 15IML05 ,‎2021 ,‎256 GB ,‎256 ,‎8 GB ,‎DDR4 ,‎DDR4 SDRAM ,‎10th Gen Intel Core i3-1011OU ,,‎Integrated Intel UHD Graphics ,"‎Anti Glare Screen, Thin, Built-in Microphone ","‎Laptop, Power Adapter, User Manual ",‎3 ,"‎Office Home and Student 2019, Windows 10 Home 64, English ",‎LED ,"‎Headphones, Speakers ",‎Battery Powered ,‎8 Hours ,‎Yes ,‎Yes ,‎Polymer ,‎Bluetooth ,,‎3 ,"‎Bluetooth, Wi-Fi, USB, Ethernet, HDMI ",‎Microphone ,,,,,,,,,,,,,,,,,,‎LED ,‎8 Hours ,,,,,,,,,,,,
‎Dell ,‎Dell India Pvt Ltd ,‎Vostro 3405 ,‎Black ,‎Laptop ,‎20 Millimeters ,‎23.9 Centimeters ,‎14 ,‎1366 x 768 Pixels ,‎32.8 x 23.9 x 2 cm; 1.58 Kilograms ,‎1 Lithium ion batteries required. (included) ,,‎AMD ,‎Atom Silverthorne ,‎2.3 ,‎1 ,‎4 GB ,‎DDR4 ,‎16 GB ,‎2400 MHz ,‎SSD ,‎Solid State ,‎AMD ,‎Integrated ,‎Shared ,‎Integrated ,‎1 ,‎2 ,‎No Optical Drive ,‎Windows 10 ,‎Yes ,‎3 ,"‎User Manual, Laptop, Charger & Adapter ",‎China ,‎1 kg 580 g ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,‎2.2 Watt Hours ,,,,,,,,,,,,,,,
‎Lenovo ,‎Lenovo ,‎V15 ,‎Black ,‎Laptop ,‎20 Millimeters ,‎23.6 Centimeters ,‎15.6 Inches ,‎Full HD (1920 X 1080) Pixels ,‎35.9 x 23.6 x 2 cm; 1.7 Kilograms ,‎1 Lithium Polymer batteries required. (included) ,‎V15 ITL G2 ,‎Intel ,‎Core i5 ,‎2.4 GHz ,‎1 ,‎8 GB ,‎DDR4 ,‎16 GB ,‎3200 MHz ,‎SSD ,‎Solid State ,‎Intel ,‎Integrated ,‎Shared ,‎Integrated ,‎1 ,,‎Not avilable ,‎Windows 10 Home ,‎Yes ,‎2 ,"‎‎Laptop, Adapter, User Manual ",‎China ,‎1 kg 700 g ,,,,,,,,‎GDDR4 ,,,‎Intel ,,,,,,‎Speakers ,‎Battery Powered ,,,,,"‎Bluetooth, 802.11ac, 2.4 GHz Radio Frequency ",,,,,,,,‎256 GB ,‎8 GB ,,,,,"‎Bluetooth, Wi-Fi ",‎1 ,,,‎65 Watts ,‎5.5 Hours ,‎38 Watt Hours ,,,,"‎PC, Windows ",‎5.5 Hours ,,,,,,,,,,
‎AVITA ,‎Alco Electronics Ltd ,,,‎Laptop ,,,‎12 Inches ,,‎29.9 x 20.6 x 2.2 cm; 1 Kilograms ,‎1 Lithium Polymer batteries required. (included) ,‎NS12T5IN021P ,‎Intel ,‎Celeron ,‎3 ,‎1 ,‎4 GB ,,‎4 GB ,,‎HDD ,‎ATA-4 ,,‎Dedicated ,‎DDR4 SDRAM ,‎AGP ,,,‎BD-R ,‎Windows 10 Home ,,,,‎China ,‎1 kg ,‎NS12T5IN021P ,‎Avita Cosmos 2 in 1 ,‎2021 ,,‎64 ,‎4 GB ,‎DDR2 ,,‎N4020 ,"‎MicroSD, USB 3.0, Mini HDMI ",,,"‎‎LAPTOP, POWER ADAPTER, USER GUIDE ",‎1 ,‎Windows 10 Home ,‎LCD ,‎Headphones ,‎Battery Powered ,‎6 Hours ,‎Yes ,‎Yes ,‎Lithium Ion ,,,‎1 ,‎Wi-Fi ,"‎Touchscreen, Keyboard ",‎Convertible_2_in_1 ,,,‎64 GB ,,,,"‎Ingram Micro India Pvt Ltd. 5th Floor, A Wing, Empire Plaza, LBS Road, Gandhinagar, Vikhroli West, Mumbai. Pin: 400083 ",,,,,,,,,,,‎6 Hours ,,,,,,,,,,,,
‎Dell ,‎Dell India Pvt Ltd ,‎INSPIRON 3505 ,‎Soft Mint ,‎Traditional Laptop ,‎20 Millimeters ,‎36.3 Centimeters ,‎15.6 Inches ,‎1366 x 768 Pixels ,‎24.9 x 36.3 x 2 cm; 1.83 Kilograms ,‎3 Lithium ion batteries required. (included) ,‎INSPIRON 3505 ,‎AMD ,‎Athlon ,‎3.5 GHz ,‎1 ,‎4 GB ,‎DDR4 ,‎16 GB ,‎2400 MHz ,‎SSD ,‎USB 3.2 ,‎AMD ,‎Integrated ,‎Shared ,‎Integrated ,‎1 ,‎2 ,‎DVD ,‎Windows 10 ,‎Yes ,‎3 ,"‎Laptop, Battery, AC Adapter, User Guide, Manuals ",‎China ,‎1 kg 830 g ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‎HP ,‎hp ,‎Chromebook ,‎Mineral Silver ,‎Chromebook ,‎18 Millimeters ,‎32.6 Centimeters ,‎14 Inches ,‎1366 x 768 (HD Ready) ,‎21.9 x 32.6 x 1.8 cm; 1.46 Kilograms ,‎1 Lithium ion batteries required. (included) ,‎14a-na0003TU ,‎Intel ,‎Celeron ,‎1.1 GHz ,‎2 ,‎4 GB ,‎DDR4 ,‎4 GB ,‎2400 MHz ,‎Solid State Drive ,,‎Intel ,‎Integrated ,,,,‎3 ,,‎Chrome OS ,‎Yes ,‎2 ,"‎Chromebook, Battery, AC Adapter, User Guide, Manuals ",‎China ,‎1 kg 460 g ,,,,,,,,,,,‎Intel UHD Graphics 600 ,,,,,,‎Speakers ,‎Battery Powered ,,,,,,,,,,,,,‎64 GB ,‎4 GB ,,,,‎Bang & Olufsen speakers ,"‎Bluetooth, Wi-Fi ",,‎1 ,,,‎12 Hours ,‎47 Watt Hours ,‎0.85 Grams ,,,‎GOOGLE CHROME ,‎12 Hours ,‎1920 x 1080 pixels ,‎240 Volts (AC) ,‎640 MP ,,,,,,,
‎Lenovo ,‎Lenovo ,‎IdeaPad 3 14IGL05 ,‎PLATINUM_GREY ,‎Thin & Light ,‎20 Millimeters ,‎24.1 Centimeters ,‎14 Inches ,‎1366 x 768 Pixels ,‎32.7 x 24.1 x 2 cm; 1.5 Kilograms ,‎1 Lithium Polymer batteries required. (included) ,‎81WH001NIN ,‎Intel ,‎Celeron N4020 ,‎1.1 GHz ,‎2 ,‎4 GB ,‎DDR4 ,,‎2400 MHz ,‎SSD ,‎USB 3.2 ,‎Intel ,‎Integrated ,‎DDR4 SDRAM ,‎Integrated ,‎1 ,‎2 ,‎No Optical Drive ,‎Windows 10 Home ,‎Yes ,‎2 ,"‎Laptop, Power Adapter, User Manual ",‎China ,‎1 kg 500 g ,,,,,,,,‎DDR4 SDRAM ,,,‎Integrated Intel UHD Graphics 600 ,,,,,,"‎Headphones, Speakers ",‎Battery Powered ,,,,,‎Bluetooth ,,,,,,,,,,,,,"‎Stereo speakers, 1.5W x2, Dolby® Audio™ ",,‎1 ,,,,‎11 Hours ,‎35 Watt Hours ,,,,,‎10 Hours ,,,,,,,,,,
‎AVITA ,‎Alco Electronices (Dongguan) Limited ,‎NS14A6ING431-SGC ,,‎Laptop ,‎2 Centimeters ,‎32.1 Centimeters ,‎35.56 Centimetres ,‎1920x1080 ,‎22.5 x 32.1 x 2 cm; 1.72 Kilograms ,,‎NS14A6ING431-SGC ,‎AMD ,‎AMD A6 ,‎2.4 GHz ,‎1 ,‎4 GB ,‎DDR4 ,‎4 GB ,,‎SSD ,‎USB 3.0 ,‎AMD ,‎Integrated ,‎DDR4 SDRAM ,‎Integrated ,,‎2 ,‎No Optical Drive ,‎Windows 10 Home ,,,"‎Laptop, AC Adapter, User Guide, Manuals ",‎China ,‎1 kg 720 g ,,,,,,,,,,,‎AMD Radeon R4 ,,,,,,‎Headphones ,‎Battery Powered ,,,,,"‎Bluetooth, 802.11bgn, 2.4 GHz Radio Frequency ",,,,,,,,,‎128 GB ,,,,,"‎Bluetooth, Wi-Fi ",,,,,‎6 Hours ,,,,,,‎6 Hours ,‎1366 x 768 Pixels ,,,,,,,,,
